entrezid	Ensembl_Gene_ID	Gene_Symbol	log2FC	p_value	adj_pvalue
10723	ENSG00000113504	SLC12A7	1.4720046424	9.48e-80	5.22e-77
5905	ENSG00000100401	RANGAP1	0.6857346473	6.76e-20	8.09e-18
89932	ENSG00000100767	PAPLN	2.3421900636	1.39e-78	7.52e-76
3918	ENSG00000058085	LAMC2	1.5431664983	2.86e-53	1.04e-50
NA	ENSG00000270607	RP11-359E10.1	2.3854036344	1.47e-70	6.72e-68
23586	ENSG00000107201	DDX58	1.4595388552	1.70e-73	8.48e-71
2920	ENSG00000081041	CXCL2	3.0262033543	7.41e-43	2.09e-40
4487	ENSG00000163132	MSX1	2.7761598722	1.29e-66	5.51e-64
5452	ENSG00000028277	POU2F2	2.0466146728	3.97e-65	1.65e-62
79931	ENSG00000050730	TNIP3	3.229329092	1.37e-44	4.10e-42
23780	ENSG00000128335	APOL2	1.473090214	2.09e-70	9.41e-68
NA	ENSG00000237988	OR2I1P	7.8419334093	3.18e-67	1.37e-64
10148	ENSG00000105246	EBI3	5.0935025027	1.23e-59	4.89e-57
6385	ENSG00000124145	SDC4	1.407771963	6.90e-76	3.55e-73
64135	ENSG00000115267	IFIH1	2.6863181071	9.94e-139	1.10e-135
6648	ENSG00000112096	SOD2	1.7840242915	7.44e-121	7.21e-118
6776	ENSG00000126561	STAT5A	1.382924375	6.59e-72	3.10e-69
57007	ENSG00000144476	ACKR3	1.5463153496	1.10e-43	3.14e-41
91107	ENSG00000132481	TRIM47	1.8400193127	3.47e-94	2.17e-91
8809	ENSG00000115604	IL18R1	1.7758792324	4.38e-102	3.18e-99
22998	ENSG00000064042	LIMCH1	-1.697667608	1.06e-57	4.09e-55
10512	ENSG00000075223	SEMA3C	2.6428794379	4.87e-34	1.04e-31
101929623	ENSG00000271856	RP11-861A13.4	5.3162419344	7.11e-64	2.91e-61
320	ENSG00000107282	APBA1	-1.4667390864	1.85e-36	4.38e-34
1520	ENSG00000163131	CTSS	2.6929454478	4.65e-111	3.91e-108
8995	ENSG00000120337	TNFSF18	1.5716255441	8.91e-90	5.48e-87
8495	ENSG00000166387	PPFIBP2	-1.3608246629	7.19e-36	1.62e-33
147040	ENSG00000213859	KCTD11	1.0580714969	1.04e-23	1.52e-21
22996	ENSG00000085831	TTC39A	2.4578133228	9.15e-25	1.41e-22
7048	ENSG00000163513	TGFBR2	0.4969789653	3.46e-09	1.81e-07
144165	ENSG00000139174	PRICKLE1	-1.4142683759	3.02e-73	1.48e-70
352999	ENSG00000184530	C6orf58	6.0201724937	1.58e-51	5.42e-49
163732	ENSG00000179862	CITED4	1.3708051503	1.16e-22	1.59e-20
3552	ENSG00000115008	IL1A	2.6593891142	7.46e-43	2.09e-40
54869	ENSG00000131037	EPS8L1	1.0947789046	4.79e-20	5.76e-18
2633	ENSG00000117228	GBP1	1.2025593197	6.13e-52	2.15e-49
221468	ENSG00000172738	TMEM217	1.9639810453	3.00e-54	1.10e-51
4336	ENSG00000168314	MOBP	2.4845110741	2.38e-26	3.92e-24
3656	ENSG00000134070	IRAK2	2.2955364885	2.08e-141	2.46e-138
145741	ENSG00000198535	C2CD4A	4.577996172	1.20e-40	3.24e-38
80149	ENSG00000163874	ZC3H12A	0.9381369244	1.78e-18	1.98e-16
3563	ENSG00000185291	IL3RA	2.3420467737	8.82e-44	2.54e-41
3718	ENSG00000105639	JAK3	2.495057148	1.52e-41	4.18e-39
3726	ENSG00000171223	JUNB	2.0335078068	5.12e-81	2.87e-78
9076	ENSG00000163347	CLDN1	2.4949072106	1.73e-27	2.96e-25
54112	ENSG00000181656	GPR88	2.0975113695	4.44e-25	6.99e-23
3600	ENSG00000164136	IL15	2.2652411451	6.11e-47	1.90e-44
115207	ENSG00000178695	KCTD12	-0.7539496907	7.25e-23	9.98e-21
56892	ENSG00000176907	C8orf4	1.6829692594	1.49e-81	8.50e-79
2921	ENSG00000163734	CXCL3	3.0321033172	4.77e-32	9.58e-30
23764	ENSG00000185022	MAFF	1.3309075932	1.13e-46	3.49e-44
151636	ENSG00000163840	DTX3L	1.2171662272	6.27e-38	1.55e-35
5698	ENSG00000240065	PSMB9	2.2505005445	4.07e-35	8.98e-33
3134	ENSG00000204642	HLA-F	2.1177972557	2.64e-22	3.53e-20
3659	ENSG00000125347	IRF1	1.4482064145	8.65e-58	3.37e-55
467	ENSG00000162772	ATF3	1.4948349223	4.86e-33	1.00e-30
3459	ENSG00000027697	IFNGR1	1.0231240904	2.49e-36	5.76e-34
27115	ENSG00000171408	PDE7B	-1.169170306	1.73e-29	3.09e-27
3575	ENSG00000168685	IL7R	2.125882044	2.32e-96	1.55e-93
219285	ENSG00000177409	SAMD9L	1.2162404685	5.73e-32	1.14e-29
10010	ENSG00000136560	TANK	1.1525846708	7.03e-51	2.34e-48
4790	ENSG00000109320	NFKB1	1.5459523059	6.58e-87	3.91e-84
121227	ENSG00000139263	LRIG3	1.2088786453	2.15e-62	8.69e-60
255877	ENSG00000161940	BCL6B	1.1369814172	6.66e-51	2.24e-48
5608	ENSG00000108984	MAP2K6	-1.378263906	1.92e-39	4.90e-37
6737	ENSG00000132109	TRIM21	1.0587983659	4.22e-36	9.62e-34
80774	ENSG00000136490	LIMD2	1.1414650881	2.93e-31	5.74e-29
5724	ENSG00000169403	PTAFR	2.166927154	6.16e-21	7.66e-19
53947	ENSG00000128274	A4GALT	0.9518357944	6.31e-14	5.03e-12
1540	ENSG00000083799	CYLD	1.210521761	2.05e-42	5.70e-40
3660	ENSG00000168310	IRF2	1.2216681724	4.91e-47	1.54e-44
4007	ENSG00000012211	PRICKLE3	0.9224797711	1.10e-15	9.98e-14
8743	ENSG00000121858	TNFSF10	1.6268549998	2.36e-58	9.33e-56
420	ENSG00000111339	ART4	1.1092601697	4.43e-36	1.00e-33
3437	ENSG00000119917	IFIT3	1.426688259	6.75e-31	1.29e-28
51296	ENSG00000110446	SLC15A3	2.1584288816	1.45e-33	3.05e-31
5293	ENSG00000171608	PIK3CD	1.2125359085	8.36e-40	2.17e-37
1513	ENSG00000143387	CTSK	1.6805693689	1.85e-49	5.96e-47
3965	ENSG00000168961	LGALS9	1.1324240248	3.44e-13	2.59e-11
58491	ENSG00000197951	ZNF71	0.967458386	3.97e-23	5.59e-21
92922	ENSG00000135736	CCDC102A	1.0619472932	9.57e-18	1.02e-15
115361	ENSG00000162654	GBP4	2.502767742	1.02e-97	7.09e-95
7098	ENSG00000164342	TLR3	1.0648394078	1.68e-16	1.62e-14
2635	ENSG00000117226	GBP3	1.1214295893	2.49e-47	7.88e-45
7056	ENSG00000178726	THBD	-1.4528817816	3.55e-25	5.62e-23
10809	ENSG00000214530	STARD10	1.5633072958	1.11e-38	2.78e-36
84803	ENSG00000138678	AGPAT9	-1.1430936762	5.60e-32	1.12e-29
51267	ENSG00000150048	CLEC1A	1.2751911972	7.72e-55	2.87e-52
6892	ENSG00000231925	TAPBP	1.3480413157	1.26e-68	5.52e-66
23037	ENSG00000133401	PDZD2	2.3248274849	7.95e-40	2.08e-37
55620	ENSG00000178078	STAP2	1.28193951	3.40e-23	4.80e-21
51719	ENSG00000135932	CAB39	0.9256585597	1.46e-35	3.26e-33
3460	ENSG00000159128	IFNGR2	0.9511059149	1.21e-34	2.61e-32
10537	ENSG00000213886	UBD	7.6186044178	3.41e-22	4.51e-20
55204	ENSG00000143457	GOLPH3L	0.9607766432	1.80e-39	4.63e-37
4973	ENSG00000173391	OLR1	7.7114015901	5.57e-23	7.71e-21
9246	ENSG00000156587	UBE2L6	0.8515373492	1.57e-16	1.53e-14
105374952	ENSG00000272269	RP11-500C11.3	1.6678950328	4.05e-66	1.70e-63
NA	ENSG00000267607	CTD-2369P2.8	7.4805566417	1.05e-20	1.30e-18
51513	ENSG00000010030	ETV7	3.5462544329	2.05e-25	3.29e-23
259173	ENSG00000178038	ALS2CL	0.7803985197	1.34e-12	9.59e-11
1525	ENSG00000154639	CXADR	-1.0564152322	1.54e-29	2.77e-27
55701	ENSG00000165801	ARHGEF40	1.4957938646	1.09e-51	3.79e-49
140738	ENSG00000171227	TMEM37	-1.9016765305	1.14e-16	1.12e-14
25816	ENSG00000145779	TNFAIP8	1.2349523996	1.40e-55	5.28e-53
11080	ENSG00000162616	DNAJB4	-0.6648872946	1.48e-19	1.73e-17
54739	ENSG00000132530	XAF1	1.0866278536	9.62e-23	1.32e-20
85441	ENSG00000130589	HELZ2	1.2062416729	8.37e-46	2.52e-43
3433	ENSG00000119922	IFIT2	1.6562895595	2.72e-16	2.58e-14
25780	ENSG00000152689	RASGRP3	1.2913579655	9.56e-31	1.82e-28
58494	ENSG00000154721	JAM2	2.7582655566	1.60e-23	2.30e-21
5740	ENSG00000124212	PTGIS	1.3607275428	7.75e-29	1.35e-26
83541	ENSG00000125898	FAM110A	0.7699331901	5.45e-11	3.40e-09
65249	ENSG00000132003	ZSWIM4	1.7616984729	1.40e-72	6.76e-70
154043	ENSG00000153721	CNKSR3	1.581266048	8.85e-39	2.23e-36
8111	ENSG00000119714	GPR68	1.6813999238	1.50e-15	1.35e-13
93082	ENSG00000163121	NEURL3	4.8947295863	2.82e-18	3.10e-16
100507463	ENSG00000204261	TAPSAR1	1.7286495357	2.63e-22	3.53e-20
56978	ENSG00000152784	PRDM8	1.3177095327	2.45e-23	3.50e-21
NA	ENSG00000155130	MARCKS	0.3369290495	4.18e-07	1.60e-05
143686	ENSG00000149212	SESN3	-0.9948166535	7.71e-13	5.65e-11
1439	ENSG00000100368	CSF2RB	1.0499093721	5.70e-33	1.17e-30
NA	ENSG00000143466	IKBKE	1.1726116768	3.24e-48	1.04e-45
64127	ENSG00000167207	NOD2	4.1387725935	8.46e-24	1.26e-21
6547	ENSG00000100678	SLC8A3	5.436416856	9.64e-17	9.51e-15
254778	ENSG00000169085	C8orf46	3.9179192668	7.17e-28	1.23e-25
961	ENSG00000196776	CD47	1.0211094014	8.26e-44	2.40e-41
51090	ENSG00000102934	PLLP	1.7574549603	3.20e-37	7.74e-35
54020	ENSG00000160190	SLC37A1	0.8662438352	9.61e-17	9.51e-15
51704	ENSG00000167191	GPRC5B	1.3510883965	5.59e-51	1.90e-48
144347	ENSG00000178882	FAM101A	1.0828435301	1.93e-39	4.90e-37
4793	ENSG00000104825	NFKBIB	0.8083231505	7.72e-22	1.01e-19
51646	ENSG00000119801	YPEL5	0.8034326357	4.90e-26	8.03e-24
9966	ENSG00000181634	TNFSF15	1.4304497633	2.37e-37	5.79e-35
79651	ENSG00000129667	RHBDF2	1.1649981551	6.94e-44	2.05e-41
8303	ENSG00000184602	SNN	0.7740862573	1.48e-20	1.81e-18
4689	ENSG00000100365	NCF4	4.558251281	4.52e-24	6.78e-22
124976	ENSG00000183018	SPNS2	0.8902983353	1.71e-29	3.07e-27
4088	ENSG00000166949	SMAD3	1.2851538162	1.07e-71	4.98e-69
6303	ENSG00000130066	SAT1	1.0984598053	4.24e-40	1.13e-37
24145	ENSG00000110218	PANX1	1.0458454628	7.65e-29	1.34e-26
9619	ENSG00000160179	ABCG1	1.1614780131	1.63e-33	3.40e-31
643866	ENSG00000139899	CBLN3	1.7931732267	3.03e-33	6.29e-31
1947	ENSG00000090776	EFNB1	1.0699057643	7.00e-41	1.91e-38
1437	ENSG00000164400	CSF2	4.5542622849	2.10e-13	1.62e-11
388403	ENSG00000175155	YPEL2	0.9464573628	2.72e-23	3.87e-21
56603	ENSG00000003137	CYP26B1	-2.5718415447	3.28e-37	7.89e-35
5699	ENSG00000205220	PSMB10	1.0292991652	3.63e-16	3.41e-14
114880	ENSG00000079156	OSBPL6	-0.9160285066	2.97e-15	2.58e-13
3914	ENSG00000196878	LAMB3	0.9332660731	2.34e-30	4.34e-28
101929709	ENSG00000251136	RP11-37B2.1	1.203718483	8.06e-11	4.92e-09
140606	ENSG00000198832	SELM	1.321494591	1.58e-24	2.43e-22
51705	ENSG00000164035	EMCN	-0.8736185363	1.02e-28	1.77e-26
6809	ENSG00000166900	STX3	-0.869513786	3.29e-31	6.42e-29
5366	ENSG00000141682	PMAIP1	0.8638748761	6.22e-29	1.09e-26
4814	ENSG00000131669	NINJ1	0.8906736714	8.86e-26	1.44e-23
602	ENSG00000069399	BCL3	1.413913047	3.29e-46	1.00e-43
862	ENSG00000079102	RUNX1T1	-0.9911151505	2.07e-36	4.86e-34
441072	ENSG00000227908	CTD-2031P19.3	2.3325227057	4.64e-17	4.65e-15
8879	ENSG00000166224	SGPL1	0.8439625523	7.13e-25	1.11e-22
1466	ENSG00000175183	CSRP2	0.8563780143	1.68e-12	1.20e-10
2250	ENSG00000138675	FGF5	1.192502468	2.25e-25	3.60e-23
7293	ENSG00000186827	TNFRSF4	5.8841358772	1.11e-17	1.18e-15
8876	ENSG00000112299	VNN1	3.3660978538	1.64e-17	1.72e-15
9242	ENSG00000178860	MSC	4.183307096	4.71e-14	3.78e-12
65983	ENSG00000155324	GRAMD3	1.2255824988	6.50e-11	4.00e-09
400451	ENSG00000185442	FAM174B	-0.836626047	7.24e-22	9.49e-20
113220	ENSG00000136883	KIF12	2.2885773567	1.13e-18	1.27e-16
100126791	ENSG00000235947	EGOT	6.7704547822	2.96e-12	2.03e-10
1769	ENSG00000124721	DNAH8	-1.2678732696	2.92e-17	2.97e-15
874	ENSG00000159231	CBR3	1.5647327275	2.29e-52	8.13e-50
55633	ENSG00000065491	TBC1D22B	0.8538972942	2.30e-26	3.80e-24
1942	ENSG00000169242	EFNA1	1.4165954554	4.27e-40	1.13e-37
NA	ENSG00000231360	AL592284.1	2.7073184262	4.36e-15	3.72e-13
10626	ENSG00000221926	TRIM16	0.7029520377	3.73e-14	3.02e-12
NA	ENSG00000272016	RP11-215G15.5	0.8117914573	1.13e-12	8.17e-11
25819	ENSG00000151014	CCRN4L	1.0379114203	3.56e-24	5.36e-22
148932	ENSG00000142961	MOB3C	0.997961002	3.26e-15	2.82e-13
116844	ENSG00000171236	LRG1	2.3435370548	1.70e-15	1.49e-13
5328	ENSG00000122861	PLAU	0.9088760584	8.82e-30	1.62e-27
7186	ENSG00000127191	TRAF2	0.7563313941	4.45e-16	4.11e-14
8061	ENSG00000175592	FOSL1	0.850193167	1.53e-30	2.88e-28
7111	ENSG00000136842	TMOD1	2.1656895527	6.25e-17	6.25e-15
10384	ENSG00000111801	BTN3A3	0.8389416662	3.24e-19	3.70e-17
9734	ENSG00000048052	HDAC9	2.129043477	5.04e-34	1.07e-31
23138	ENSG00000145911	N4BP3	1.4898252251	2.52e-29	4.48e-27
5322	ENSG00000127472	PLA2G5	4.2086612089	3.06e-17	3.10e-15
84870	ENSG00000146374	RSPO3	1.1440299676	8.21e-33	1.67e-30
NA	ENSG00000165659	DACH1	-1.5561758479	7.59e-30	1.40e-27
NA	ENSG00000213443	RP11-75L1.2	2.3331573508	7.07e-14	5.62e-12
6755	ENSG00000162009	SSTR5	-2.7085099871	2.12e-13	1.63e-11
627	ENSG00000176697	BDNF	-1.0585506837	4.57e-16	4.21e-14
2012	ENSG00000134531	EMP1	-0.4110928344	1.93e-09	1.04e-07
22904	ENSG00000064932	SBNO2	0.7580102147	9.23e-22	1.19e-19
2294	ENSG00000103241	FOXF1	0.9686198954	2.33e-16	2.24e-14
4739	ENSG00000111859	NEDD9	0.9160581572	1.69e-26	2.83e-24
7126	ENSG00000109079	TNFAIP1	0.9377237493	1.37e-36	3.27e-34
6932	ENSG00000081059	TCF7	0.7092656194	3.96e-10	2.27e-08
4884	ENSG00000171246	NPTX1	1.7377387028	1.22e-11	8.01e-10
5696	ENSG00000204264	PSMB8	0.6716991695	1.59e-15	1.41e-13
6505	ENSG00000106688	SLC1A1	-0.7863595313	2.43e-22	3.27e-20
5606	ENSG00000034152	MAP2K3	0.6419097183	1.11e-17	1.18e-15
54436	ENSG00000125089	SH3TC1	0.7289249819	3.83e-16	3.58e-14
6480	ENSG00000073849	ST6GAL1	1.2554852844	1.42e-52	5.09e-50
5721	ENSG00000100911	PSME2	0.7116652869	4.03e-15	3.45e-13
3601	ENSG00000134470	IL15RA	1.102594557	1.21e-34	2.61e-32
85480	ENSG00000145777	TSLP	2.4138779529	5.47e-13	4.04e-11
399726	ENSG00000204682	CASC10	1.5144410531	8.14e-22	1.06e-19
25805	ENSG00000095739	BAMBI	-0.7977061864	2.09e-11	1.35e-09
5010	ENSG00000013297	CLDN11	0.4607939704	4.26e-12	2.89e-10
10346	ENSG00000132274	TRIM22	0.677227739	1.44e-20	1.77e-18
5580	ENSG00000163932	PRKCD	0.7708216872	1.26e-23	1.82e-21
1052	ENSG00000221869	CEBPD	1.608895375	1.05e-29	1.93e-27
126282	ENSG00000185361	TNFAIP8L1	0.7285886419	1.39e-21	1.78e-19
3219	ENSG00000170689	HOXB9	1.8396661331	4.34e-21	5.44e-19
80380	ENSG00000197646	PDCD1LG2	1.0196899604	1.21e-17	1.28e-15
2982	ENSG00000164116	GUCY1A3	2.6004545429	4.70e-14	3.78e-12
1850	ENSG00000184545	DUSP8	1.4675244694	1.17e-23	1.71e-21
5629	ENSG00000117707	PROX1	-1.2550165503	4.12e-19	4.69e-17
58472	ENSG00000137767	SQRDL	1.1255236894	1.74e-17	1.82e-15
29995	ENSG00000071282	LMCD1	-0.9118384423	4.52e-14	3.65e-12
2152	ENSG00000117525	F3	1.1822992014	5.09e-09	2.58e-07
148022	ENSG00000127666	TICAM1	0.8064954922	2.30e-18	2.55e-16
1326	ENSG00000107968	MAP3K8	1.4073405226	1.57e-22	2.13e-20
120939	ENSG00000165685	TMEM52B	3.0865735935	4.16e-15	3.56e-13
84662	ENSG00000126603	GLIS2	0.7834594541	7.02e-12	4.71e-10
90874	ENSG00000143067	ZNF697	1.0177442557	9.12e-35	2.00e-32
23264	ENSG00000100403	ZC3H7B	0.9618781013	9.95e-38	2.45e-35
10435	ENSG00000149798	CDC42EP2	0.7806369468	6.07e-18	6.51e-16
10887	ENSG00000169621	APLF	1.4855907744	8.43e-25	1.31e-22
3105	ENSG00000206503	HLA-A	0.9350131142	9.76e-24	1.44e-21
23286	ENSG00000113645	WWC1	2.2937570194	1.01e-16	9.89e-15
8829	ENSG00000099250	NRP1	-0.5037267432	1.62e-12	1.16e-10
64419	ENSG00000163719	MTMR14	0.5675343136	4.16e-13	3.10e-11
81621	ENSG00000107821	KAZALD1	-1.4290087006	1.23e-11	8.07e-10
10272	ENSG00000070404	FSTL3	1.1027505315	2.76e-29	4.87e-27
2650	ENSG00000187210	GCNT1	-0.8686522938	4.71e-31	9.12e-29
9911	ENSG00000133069	TMCC2	1.0413789794	1.68e-16	1.62e-14
94030	ENSG00000131409	LRRC4B	1.2931498234	1.18e-10	7.13e-09
115362	ENSG00000154451	GBP5	2.7013678594	1.83e-12	1.29e-10
51700	ENSG00000166394	CYB5R2	0.7332646196	3.05e-12	2.09e-10
8638	ENSG00000135114	OASL	2.1951538388	4.01e-11	2.55e-09
8542	ENSG00000100342	APOL1	1.220028965	1.77e-35	3.93e-33
NA	ENSG00000228536	RP11-392O17.1	2.7825337115	1.93e-09	1.04e-07
4824	ENSG00000167034	NKX3-1	1.3585205916	2.32e-14	1.89e-12
3665	ENSG00000185507	IRF7	0.8084085248	4.12e-08	1.85e-06
4779	ENSG00000082641	NFE2L1	0.3652826186	2.25e-07	8.90e-06
130574	ENSG00000187123	LYPD6	1.0308782093	3.26e-25	5.18e-23
947	ENSG00000174059	CD34	1.1102344592	7.81e-27	1.33e-24
2907	ENSG00000178719	GRINA	0.8396601415	7.97e-24	1.19e-21
5157	ENSG00000104213	PDGFRL	0.6828700248	1.96e-08	9.17e-07
85456	ENSG00000149115	TNKS1BP1	0.7459528472	8.49e-22	1.10e-19
8605	ENSG00000105499	PLA2G4C	1.3580795546	2.24e-23	3.20e-21
55332	ENSG00000136048	DRAM1	0.7409353033	1.66e-24	2.52e-22
27113	ENSG00000105327	BBC3	0.7261708499	7.85e-16	7.13e-14
970	ENSG00000125726	CD70	6.1411549057	4.39e-09	2.26e-07
84102	ENSG00000136052	SLC41A2	1.4157227919	2.37e-40	6.38e-38
79668	ENSG00000151883	PARP8	2.4975836849	2.04e-11	1.31e-09
84935	ENSG00000102802	MEDAG	-0.9069167651	6.00e-18	6.46e-16
91010	ENSG00000161791	FMNL3	0.8876008674	1.60e-24	2.45e-22
643733	ENSG00000235505	RP11-693N9.2	1.3375439579	6.56e-22	8.63e-20
6236	ENSG00000166592	RRAD	2.2813391338	1.28e-11	8.41e-10
9546	ENSG00000011132	APBA3	0.8498271597	3.31e-21	4.18e-19
24138	ENSG00000152778	IFIT5	0.788230332	2.76e-12	1.91e-10
26249	ENSG00000146021	KLHL3	-1.1835895681	1.63e-20	1.97e-18
55893	ENSG00000186918	ZNF395	-0.8474414144	5.73e-13	4.22e-11
6875	ENSG00000141384	TAF4B	1.0663419997	7.55e-15	6.33e-13
NA	ENSG00000261618	RP11-79H23.3	6.1379496776	6.43e-09	3.21e-07
8877	ENSG00000176170	SPHK1	0.6840743548	9.03e-18	9.65e-16
22882	ENSG00000178764	ZHX2	0.646055016	3.32e-08	1.50e-06
7187	ENSG00000131323	TRAF3	0.9936331075	1.50e-31	2.96e-29
23371	ENSG00000111077	TENC1	-0.8569865373	1.32e-26	2.22e-24
6354	ENSG00000108688	CCL7	3.2634690098	5.88e-11	3.64e-09
881	ENSG00000185972	CCIN	1.4017678544	6.24e-14	4.99e-12
83595	ENSG00000171056	SOX7	0.5167198577	1.05e-11	6.95e-10
54674	ENSG00000173114	LRRN3	4.3283970118	3.29e-08	1.49e-06
146433	ENSG00000157368	IL34	3.3547659657	8.97e-13	6.53e-11
4066	ENSG00000104903	LYL1	-0.8418136115	3.07e-22	4.07e-20
972	ENSG00000019582	CD74	3.0129058195	4.82e-15	4.08e-13
857	ENSG00000105974	CAV1	0.2932091817	9.21e-06	0.0002734463
586	ENSG00000060982	BCAT1	-0.3791961842	1.23e-07	5.09e-06
7453	ENSG00000140105	WARS	0.3678696708	1.29e-07	5.30e-06
2124	ENSG00000185862	EVI2B	-0.7751849257	7.67e-13	5.63e-11
NA	ENSG00000230024	RP11-95P13.1	2.2114928759	2.92e-10	1.70e-08
8110	ENSG00000205683	DPF3	0.885344948	6.79e-25	1.06e-22
1889	ENSG00000117298	ECE1	0.3157266591	3.07e-06	0.0001015302
1613	ENSG00000167657	DAPK3	0.6431442219	2.12e-15	1.85e-13
11309	ENSG00000137491	SLCO2B1	4.3274368507	4.19e-08	1.88e-06
56951	ENSG00000113583	C5orf15	0.5402358913	3.06e-12	2.09e-10
NA	ENSG00000270055	CTD-3092A11.2	0.7554364577	7.81e-19	8.85e-17
2643	ENSG00000131979	GCH1	0.6475915098	2.22e-08	1.03e-06
10631	ENSG00000133110	POSTN	-1.4607784203	2.54e-16	2.42e-14
NA	ENSG00000258376	RP4-647C14.2	1.0759940117	6.92e-16	6.31e-14
8654	ENSG00000138735	PDE5A	0.7694825617	1.09e-08	5.27e-07
55337	ENSG00000130813	C19orf66	0.7515725796	6.83e-11	4.20e-09
3430	ENSG00000068079	IFI35	0.6235697941	1.17e-07	4.85e-06
30844	ENSG00000103966	EHD4	0.3296977083	1.76e-06	6.09e-05
